doi,title,abstract,year,doc_type,journal,source,pc_text_source,pc_classified_by,pc_field,pc_rationale
10.1111/eva.13611,Loss of plasticity in maturation timing after ten years of captive spawning in a delta smelt conservation hatchery,"Adaptation to captivity in spawning programs can lead to unintentional consequences, such as domestication that results in reduced fitness in the wild. The timing of sexual maturation has been shown to be a trait under domestication selection in fish hatcheries, which affects a fish's access to mating opportunities and aligning their offspring's development with favorable environmental conditions. Earlier maturing fish may be favored in hatchery settings where managers provide artificially optimal growing conditions, but early maturation may reduce fitness in the wild if, for example, there is a mismatch between timing of reproduction and availability of resources that support recruitment. We investigated patterns of maturation timing in a delta smelt (Hypomesus transpacificus) conservation hatchery by quantifying changes to the median age at maturity since the captive spawning program was initiated in 2008. Over the span of a decade, we observed a small, but significant increase in age at maturity among broodstock by 2.2 weeks. This trait had low heritability and was largely controlled by phenotypic plasticity that was dependent on the time of year fish were born. Fish that were born later in the year matured faster, potentially a carryover from selection favoring synchronous spawning in the wild. However, higher DI (domestication index) fish showed a loss of plasticity, we argue, as a result of hatchery practices that breed individuals past peak periods of female ripeness. Our findings suggest that the hatchery setting has relaxed selection pressures for fish to mature quickly at the end of the year and, consequently, has led to a loss of plasticity in age at maturity. Hatchery fish that are re-introduced in the wild may not be able to align maturation with population peaks if their maturation rates are too slow with reduced plasticity, potentially resulting in lower fitness.",2023,Article,Evolutionary Applications,scopus,title+abstract,llm-full,Culture and Reintroduction,"This study investigates changes in maturation timing over ten years in a delta smelt conservation hatchery, examining heritability, plasticity, and the effects of hatchery practices on age at maturity. The primary research question concerns adaptation to captivity and domestication selection in a captive spawning program, with implications for fitness of reintroduced fish in the wild. The study explicitly examines broodstock performance, hatchery settings, and how hatchery fish may perform if reintroduced. All key signals for Culture and Reintroduction are present: captive-reared populations, broodstock, hatchery practices, and concerns about reintroduction success. This is not a general biology study because the focus is specifically on captive population management and the consequences of hatchery rearing practices."
10.1002/naaq.10303,No effect of stocking density on the survival or size of late-stage Delta Smelt larvae reared in a small-scale culture system,"Objective: A small-scale culture system effective in producing larvae of endangered Delta Smelt Hypomesus transpacificus was recently developed to facilitate conservation and research efforts. Methods: To optimize its use, we examined the effect of stocking density (300, 500, 700, and 900 fish per 92 L of water) on the length, weight, and survival of late-stage larvae (41 days posthatch) reared for 40 days in the small-scale system. Result: Stocking density had no effect on larval survival or size. Also, the survival, length, and weight of these fish did not differ from those reared using standard, large-scale culture practices (2500 fish per 320 L of water). Conclusion: Our findings validate the methods used for small-scale Delta Smelt rearing, help optimize these protocols, and thereby enhance Delta Smelt rearing capabilities needed for research and conservation.",2023,Article,North American Journal of Aquaculture,scopus,title+abstract,llm-full,Culture and Reintroduction,"This study examines the effect of stocking density on survival and size of delta smelt larvae in a small-scale culture system, aiming to optimize rearing protocols for conservation and research. The primary objective is to validate and improve methods for rearing delta smelt in captivity. Key signals include small-scale culture system, larvae rearing, standard large-scale culture practices, and enhancing rearing capabilities for conservation. This is squarely within Culture and Reintroduction, as it focuses on developing best practices for raising delta smelt in captivity to support conservation efforts."
10.1002/tafs.10427,A bioenergetics-based index of habitat suitability: Spatial dynamics of foraging constraints and food limitation for a rare estuarine fish,"Objectives: Habitat suitability models can guide restoration efforts in freshwater and estuarine ecosystems by synthesizing important habitat attributes in a single index. Several important elements of the foraging arena of Delta Smelt Hypomesus transpacificus, a small, zooplanktivorous fish, were quantified using a model that combined bioenergetics with physical habitat attributes. We applied the model to evaluate spatiotemporal variation in the suitability of Delta Smelt foraging habitat as indicated by growth potential. Methods: Bioenergetics-based estimates of daily potential growth, given constraints on daily foraging due to temperature, turbidity, day length, and prey availability, were compared to reference growth, estimated separately from length-at-age data. We defined suitable foraging arenas for Delta Smelt as times and places when potential growth equaled or exceeded reference growth. Result: Among six contiguous regions of the upper San Francisco Estuary, temperature was consistently lowest and turbidity highest in the most seaward locations. As a result, predicted growth rates were greater there compared to landward, upstream regions that were warmer and less turbid. Conclusion: Simulated habitat augmentation of prey and turbidity revealed that the effects of potential restoration actions could vary regionally as the factors limiting Delta Smelt foraging varied along longitudinal and seasonal gradients. Models of the spatiotemporal variation in Delta Smelt habitat may be substantially improved by directed laboratory studies; however, this research provided a data-driven example of how dynamic estuarine habitat attributes interact to influence the suitability of foraging arenas experienced by a pelagic fish.",2023,Article,Transactions of the American Fisheries Society,scopus,title+abstract,llm-full,Summer-Fall Habitat,"This study develops and applies a bioenergetics-based model to evaluate spatial and temporal variation in foraging habitat suitability for delta smelt, combining temperature, turbidity, day length, and prey availability to estimate growth potential. The central research question is how habitat attributes interact to influence the suitability of foraging arenas across the upper San Francisco Estuary. Although the study uses bioenergetics modeling (which could suggest Life Cycle Models), the model is not a multi-stage population model but rather a tool to assess habitat quality based on growth constraints. The focus is explicitly on habitat suitability and how restoration actions (prey and turbidity augmentation) might improve habitat regionally. The study examines longitudinal and seasonal gradients in habitat quality, fitting the Summer-Fall Habitat category's emphasis on how environmental conditions influence distribution and survival. The tie-break rule favors Summer-Fall Habitat when the primary question is about habitat conditions influencing delta smelt, even when modeling is used."
10.1029/2022JG007306,Evaluating Habitat Suitability and Tidal Wetland Restoration Actions With ECOSTRESS,"As temperatures rise, it is increasingly important to monitor changes in habitat conditions for aquatic species and mitigate emerging stressors. The ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) instrument provides temperature products at a spatial and temporal scale not previously available. Here, we utilize ECOSTRESS temperature products to assess fluctuations in thermal habitat suitability for an endangered fish species and we also demonstrate the utility of the data set to assess water surface and bulk temperature changes following completion of two tidal wetland restoration efforts in the San Francisco Estuary and Sacramento–San Joaquin River Delta (Bay Delta). During all hours of the day throughout the 2018–2022 study period, key Delta Smelt habitat areas including Honker Bay, West Suisun Bay, and Mid Suisun Bay had greater than 75% of their areas suitable; there were several instances during which less than 25% of the area was thermally suitable generally coinciding with heatwave events. Overall, midday hours are less frequently suitable than morning and evening hours. Early evidence from ECOSTRESS indicates that there may be a decrease in surface water temperature of up to several degrees in tidal restoration areas, but more data is needed to show statistically significant outcomes. The ECOSTRESS record began in summer of 2018, and a longer record is needed to fully capture temperature changes associated with wetland processes and restoration efforts. Future applications of ECOSTRESS products can the capacity to help further understand ecosystem conditions and how restoration efforts affect water temperature, informing decisions that benefit Delta Smelt and other at-risk aquatic species.",2023,Article,Journal of Geophysical Research Biogeosciences,scopus,title+abstract,llm-full,Summer-Fall Habitat,"This study uses ECOSTRESS satellite temperature data to assess thermal habitat suitability for delta smelt across key areas and to evaluate temperature changes following tidal wetland restoration. The primary research question is how temperature fluctuations affect habitat suitability and whether restoration actions improve thermal conditions. Key signals include habitat suitability assessment, temperature products, restoration effects on water temperature, and informing management decisions for delta smelt. While the study develops an application of a monitoring technology (ECOSTRESS), the technology itself is not delta smelt-specific (it's a general satellite instrument), and the primary contribution is ecological understanding of habitat conditions. The focus on assessing habitat suitability for delta smelt across space and time, including restoration effects, aligns with Summer-Fall Habitat. The study examines habitat conditions throughout 2018-2022, spanning summer and fall periods, and evaluates how restoration can improve habitat."
10.1007/s12237-023-01189-8,"A Spatiotemporal History of Key Pelagic Fish Species in the San Francisco Estuary, CA","Estuaries across the globe have been subject to extensive abiotic and biotic changes and are often monitored to track trends in species abundance. The San Francisco Estuary has been deeply altered by anthropogenic factors, which is reflected in substantial declines in some native and introduced fishes. To track trends in fish abundance, a multitude of monitoring programs have conducted regular fish surveys, some dating back to the late 1950s. While these surveys are all designed to track population-scale changes in fish abundance, they are methodologically distinct, with different target species, varying spatial coverage and sampling frequency, and different gear types. To compensate for individual survey limitations, we modeled pelagic fish distributions with integrated data from many sampling programs. We fit binomial generalized linear mixed models with spatial and spatiotemporal random effects to map annual trends in the spatially explicit detection probabilities of striped bass, Delta smelt, longfin smelt, threadfin shad, and American shad for the years 1980 to 2017. Overall, detection probability has declined by approximately 50% for striped bass and is now near zero for the two smelt species, while threadfin shad and American shad have both experienced fluctuations with only slightly reduced detection probabilities by 2017. Detection probabilities decreased dramatically for these fishes in the Central and South Delta, especially after the year 2000. In contrast, Suisun Marsh and the North Delta acted as refuge habitats with reduced levels of decline or even increased detection probabilities for some species. Our modeling approach, using disparate datasets, demonstrates the simultaneous spatially driven decline of pelagic fish species in a highly altered estuary.",2023,Article,Estuaries and Coasts,scopus,title+abstract,llm-full,General Biology,"This study models spatiotemporal trends in detection probabilities for multiple pelagic fish species (including delta smelt) in the San Francisco Estuary from 1980 to 2017, using integrated data from multiple monitoring programs. The primary research objective is to characterize long-term trends and spatial distribution patterns of pelagic fishes, not to develop a monitoring tool, assess habitat conditions, or model entrainment. While the study integrates multiple datasets and uses spatial modeling, the model is not a life cycle model linking multiple life stages; rather, it's a statistical tool to map detection probability trends. Delta smelt is one of five species analyzed. The central question is descriptive ecology: How have fish distributions and detection probabilities changed over time and space? This fits General Biology as the default category for studies describing distribution, ecology, and population trends without a primary focus on management interventions, life cycle integration, or specific habitat seasons. The study provides foundational ecological knowledge about where and when these species occur."
10.1371/journal.pone.0286027,Captive-reared Delta Smelt (Hypomesus transpacificus) exhibit high survival in natural conditions using in situ enclosures,"Conservation of endangered fishes commonly includes captive breeding, applied research, and management. Since 1996, a captive breeding program has existed for the federally threatened and California endangered Delta Smelt Hypomesus transpacificus, an osmerid fish endemic to the upper San Francisco Estuary. Although this program serves as a captive refuge population, with experimental releases being initiated to supplement the wild population, it was uncertain how individuals would survive, feed, and maintain condition outside hatchery conditions. We evaluated this and the effects of three enclosure designs (41% open, 63% open, and 63% open with partial outer mesh wrap) on growth, survival, and feeding efficacy of cultured Delta Smelt at two locations (Sacramento River near Rio Vista, CA and in Sacramento River Deepwater Ship Channel) in the wild. Enclosures exposed fish to semi-natural conditions (ambient environmental fluctuations and wild food resources) but prevented escape and predation. After four weeks, survival was high for all enclosure types (94-100%) at both locations. The change in condition and weight was variable between sites, increasing at the first location but decreasing at the second location. Gut content analysis showed that fish consumed wild zooplankton that came into the enclosures. Cumulatively, results show that captive-reared Delta Smelt can survive and forage successfully when housed in enclosures under semi-natural conditions in the wild. When comparing enclosure types, we observed no significant difference in fish weight changes (p = 0.58- 0.81 across sites). The success of housing captive-reared Delta Smelt in enclosures in the wild provides preliminary evidence that these fish may be suitable to supplement the wild population in the San Francisco Estuary. Furthermore, these enclosures are a new tool to test the efficacy of habitat management actions or to acclimate fish to wild conditions as a soft release strategy for recently initiated supplementation efforts.",2023,Article,Plos One,scopus,title+abstract,llm-full,Culture and Reintroduction,"This study evaluates the survival, growth, feeding, and condition of captive-reared delta smelt housed in in situ enclosures in natural conditions, testing whether hatchery fish can survive and forage in semi-natural environments. The primary research question is whether captive-reared fish are suitable for supplementation efforts and how enclosure designs affect their performance in the wild. Key signals include captive-reared, captive breeding program, supplementation, release strategy, and soft release. The study explicitly aims to provide preliminary evidence for supplementation of the wild population and tests enclosures as a tool to acclimate fish for reintroduction. This is clearly Culture and Reintroduction, as it evaluates methods for transitioning hatchery fish to wild conditions as part of conservation and supplementation programs."
10.1016/j.theriogenology.2022.11.029,Evaluate effects of the dilution medium and holding time on various motility parameters of delta smelt semen,"Sperm preservation is an efficient technique used for the recovery, conservation, and management of some endangered fish species. The present study was conducted to explore how preservation time would affect sperm and spawning performance in the endangered delta smelt (Hypomesus transpacificus). Sperm were preserved with the modified Hanks balanced salt solution at 14.7–16.9 °C. The Kruskal-Wallis test of sperm parameters using OpenCASA plugin in ImageJ software showed that sperm (n = 33♂) had significantly higher velocity and motility within the first 5 s after activation than that of other time points, while sperm had the lowest velocity and motility after 3 min post activation (P < 0.001). The findings (n = 30♂) also showed fresh sperm had higher velocity and motility than preserved sperm, while the sperm preserved for over 24 h showed a significantly low performance (P < 0.001). The nonlinear mixed effects models of fertilization results (n = 14♂ × 70♀) indicated the fresh sperm and sperm preserved for 1 h had higher fertilization rates than other preservation times (P < 0.001). The hatching rate (n = 14♂ × 70♀) also showed the fresh sperm and sperm preserved for 3 min and 1 h had higher hatching rates than other preservation times (P < 0.001). Overall, the study showed the best sperm performance in delta smelt was found within the first 5 s post activation, and the best fertilization and hatching rates were found when the sperm were fresh and preserved for 1 h. The findings of this study provide information for the first time about how long the delta smelt's sperm are motile for quality analysis, and how the preservation time can affect sperm quality, fertility, and hatching of this species for future applications.",2023,Article,Theriogenology,scopus,title+abstract,llm-full,Culture and Reintroduction,"This study investigates the effects of preservation time on sperm motility, fertilization rates, and hatching rates in delta smelt, aiming to support sperm preservation techniques for species recovery and conservation. The primary objective is to develop and optimize sperm preservation protocols for use in captive breeding programs. Key signals include sperm preservation, recovery and conservation, captive breeding, fertilization, and hatching rates in controlled settings. The study provides information for future applications in delta smelt conservation hatcheries. This fits Culture and Reintroduction because it focuses on methods for maintaining and managing captive populations to support conservation efforts."
10.1093/conphys/coad036,"Effects of turbidity, temperature and predation cue on the stress response of juvenile delta smelt","The San Francisco Estuary (SFE) is one of the most degraded ecosystems in the United States, and organisms that inhabit it are exposed to a suite of environmental stressors. The delta smelt (Hypomesus transpacificus), a small semi-anadromous fish endemic to the SFE and considered an indicator species, is close to extinction in the wild. The goal of this study was to investigate how environmental alterations to the SFE, such as reductions in turbidities, higher temperatures and increased prevalence of invasive predators affect the physiology and stress response of juvenile delta smelt. Juvenile delta smelt were exposed to two temperatures (17 and 21<sup>◦</sup>C) and two turbidities (1–2 and 10–11 NTU) for 2 weeks. After the first week of exposure, delta smelt were exposed to a largemouth bass (Micropterus salmoides) predator cue at the same time every day for 7 days. Fish were measured and sampled on the first (acute) and final (chronic) day of exposures to predator cues and later analyzed for whole-body cortisol, glucose, lactate, and protein. Length and mass measurements were used to calculate condition factor of fish in each treatment. Turbidity had the greatest effect on juvenile delta smelt and resulted in reduced cortisol, increased glucose and lactate, and greater condition factor. Elevated temperatures reduced available energy in delta smelt, indicated by lower glucose and total protein, whereas predator cue exposure had negligible effects on their stress response. This is the first study to show reduced cortisol in juvenile delta smelt held in turbid conditions and adds to the growing data that suggest this species performs best in moderate temperatures and turbidities. Multistressor experiments are necessary to understand the capacity of delta smelt to respond to the multivariate and dynamic changes in their natural environment, and results from this study should be considered for management-based conservation efforts.",2023,Article,Conservation Physiology,scopus,title+abstract,llm-full,General Biology,"This study examines the physiological stress responses (cortisol, glucose, lactate, protein, condition factor) of juvenile delta smelt exposed to different turbidities, temperatures, and predator cues in a laboratory setting. The primary research question is how environmental stressors affect the physiology and stress response of delta smelt, providing foundational biological knowledge about their tolerance and responses to environmental conditions. Key signals include physiology, stress response, tolerance, laboratory experiment, and whole-body measurements. While the study has management implications and discusses environmental changes in the SFE, the core objective is to describe basic biological and physiological processes under controlled conditions. This is not habitat-focused (no field distribution or seasonal habitat assessment), not life cycle modeling, and not method development. It fits General Biology as a study of physiological ecology and life history traits without a primary focus on management actions or specific habitat seasons."
10.15447/sfews.2023v21iss2art1,Flow Augmentations Modify an Estuarine Prey Field,"Zooplankton density and community composition in estuaries can be affected by variation in freshwater inputs, with important implications for higher trophic levels. In the San Francisco Estuary, management agencies have initiated autumn flow augmentations in the form of changes to reservoir releases or to exported water from the South Delta to increase and improve available habitat for endangered Delta Smelt, Hypomesus transpacificus, during the season when their body condition most influences fecundity. Autumn flow augmentation only occurs in years with higher precipitation, effectively moving the Low-Salinity Zone (LSZ) downstream to key foraging habitats for Delta Smelt in Suisun Bay and Suisun Marsh. To assess whether augmented flow enhanced prey resources for Delta Smelt, we compared autumn zooplankton abundance, biomass, spatial distribution, and community composition in years when flow was augmented (2017, 2019) with reference years when flow was not augmented (2018, 2020). In augmented years, we detected higher total zooplankton abundance and altered community composition in Suisun Bay and Suisun Marsh. Increased freshwater in these regions was associated with higher abundance of Pseudodiaptomus forbesi, a preferred prey of Delta Smelt, while species associated with higher salinities—Acartiella sinensis and Tortanus dextrilobatus—were less abundant. Thus, autumn flow augmentations can influence foraging habitat and prey availability for Delta Smelt, underscoring the complex responses of estuarine zooplankton communities to changes in response to flow and salinity regimes. This study is management-relevant because it shows that important Delta Smelt prey items increase in downstream regions when X2 is lower. Whether that results in a response in Delta Smelt abundance remains to be seen.",2023,Article,San Francisco Estuary and Watershed Science,scopus,title+abstract,llm-full,Summer-Fall Habitat,"This study evaluates how autumn flow augmentations affect zooplankton abundance, biomass, distribution, and community composition in Suisun Bay and Suisun Marsh, with direct implications for delta smelt foraging habitat during the season when body condition influences fecundity. The primary research question is whether flow augmentations enhance prey resources for delta smelt by modifying the prey field. Key signals include autumn (fall season), flow augmentations as a management action, X2 (Low-Salinity Zone position), Suisun Bay, Suisun Marsh, prey availability, and foraging habitat. The study explicitly examines a management action (autumn flow augmentation) designed to improve habitat for delta smelt during summer-fall. Although zooplankton are the focus, the study's objective is to assess habitat quality (via prey availability) during the summer-fall period in response to management actions. This fits Summer-Fall Habitat based on the seasonal focus, habitat suitability assessment, and evaluation of management actions that modify summer-fall conditions."
10.15447/SFEWS.2023V21ISS3ART2,A Qualitative Comparison of Spawning Behavior between Cultured and Wild Delta Smelt (Hypomesus transpacificus),"For many imperiled species, comparisons between wild and cultured populations are invaluable for informing conservation measures, though opportunities to do so may be rare. In this study, we asked whether spawning between and among wild and cultured Delta Smelt varies in terms of behavior or resulting egg fertilization success. We conducted two laboratory experiments in which we allowed wild females to spawn with wild males (wild × wild) and cultured females to spawn with wild males (cultured × wild). Due to small sample sizes, we qualitatively compared our results to published studies of all cultured Delta Smelt (cultured × cultured). Across all three groups, Delta Smelt exhibited spawns that were similar in sequence and manner, varied widely in diel timing, and occurred predominantly between a single female and one or two males. Egg fertilization success was higher in wild × wild trials than in cultured × wild ones, but both fell within the wide range observed among cultured × cultured fish. Thus, spawning was generally similar between cultured and wild Delta Smelt, whether they were in same- or mixed-origin groups. These findings provide rare insight into the spawning behavior of wild Delta Smelt and inform ongoing conservation efforts.",2023,Article,San Francisco Estuary and Watershed Science,scopus,title+abstract,llm-full,Culture and Reintroduction,"This study directly compares spawning behavior and egg fertilization success between wild and cultured Delta Smelt populations, with explicit focus on informing conservation efforts involving cultured fish. The primary research objective is to assess whether cultured Delta Smelt retain natural spawning behaviors, which is critical for evaluating the viability of captive populations and potential supplementation programs. Key signals include 'cultured', 'wild', 'spawning behavior', 'fertilization success', and 'conservation efforts' involving cultured fish comparisons."
10.1007/s12237-022-01100-x,Relations Between Abiotic and Biotic Environmental Variables and Occupancy of Delta Smelt (Hypomesus transpacificus) in Autumn,"There is much debate about the extent to which water management in the upper San Francisco Estuary, California, affects the habitat and status of delta smelt (Hypomesus transpacificus), an endemic fish protected under the US and California Endangered Species Acts. For example, current management reflects the hypothesis that salinity, and in some cases the location of the tidally averaged salinity of 2 parts per thousand (X2), is a reliable indication of habitat quality. We evaluated hypotheses about environmental drivers of the quality of delta smelt habitat (probability of occupancy) during autumn that were developed by experts on the species and estuary. We fit Bayesian occupancy models, which account for imperfect detection, and identified those that best predicted the presence of delta smelt in catch data from 1980 to 2015. The most strongly supported model indicated that occupancy was associated with salinity (measured as specific conductance) and temperature, and detection was associated with body size, sample volume, water clarity, and tidal stage. The second most strongly supported model indicated that occupancy was associated with the abundance of a hypothesized competitor, threadfin shad (Dorosoma petenense), an expert-elicited index of predation intensity, and water clarity, and detection was associated with body size, sample volume, water clarity, and time of day. Our results suggested that clarity did not affect occupancy, but affected finer-resolution processes of local presence and detection at sampling stations. Spatial patterns in occupancy were consistent in wet and dry years, suggesting that management on the basis of salinity oversimplifies estimation of habitat quantity and quality.",2023,Article,Estuaries and Coasts,scopus,title+abstract,llm-full,Summer-Fall Habitat,"The study examines environmental drivers of Delta Smelt habitat quality (probability of occupancy) specifically during autumn (part of the summer-fall period, June-December). The primary research question focuses on how abiotic and biotic variables—including salinity, temperature, water clarity, and biotic interactions—affect Delta Smelt occupancy in this seasonal period. Key signals include 'autumn', evaluation of X2 salinity management, and assessment of habitat quality during the summer-fall timeframe. The modeling approach is used to answer a habitat suitability question rather than being a life cycle model."
10.15447/SFEWS.2023V21ISS4ART2,Proofing Field and Laboratory Species Identification Procedures Developed for the Non-Native Osmerid Species Wakasagi (Hypomesus nipponensis) Using SHERLOCK-Based Genetic Verification,"Accurate species identification is critical to monitoring programs because mis-identifications can lead to incorrect assessments of population status and trends. In the San Francisco Estuary, efforts to monitor the imperiled osmerid Delta Smelt (Hypomesus transpacificus) using morphology can be challenging because of the presence of the similar-looking non-native osmerid Wakasagi (Hypomesus nipponensis). In 2017, the US Fish and Wildlife Service’s field office in Lodi implemented a two-stage verification process for Wakasagi to help prevent Delta Smelt from being mis-identified as Wakasagi. Under this process, Wakasagi are initially identified in the field, independently identified a second time by an experienced staff member in the laboratory, then stored on-site where they can be made available for future studies. Using the recently developed Specific High-sensitivity Enzymatic Reporter un-LOCKing (SHERLOCK) assay for Wakasagi, we evaluated how well verification protocols performed by genetically identifying a subset of Wakasagi collected during routine sampling between 2017 and 2021. Through this study, we found that the protocols have served as an effective quality control measure for over 4 years and across multiple surveys. With the development of field-deployable genetics tools such as SHERLOCK, genetic identification will likely play an increasingly important role in ecological monitoring. We expect that hybrid approaches that combine morphological identifications by trained field crew with application of field-based genetic tools may offer an effective and efficient approach to ensuring data accuracy in the future.",2023,Article,San Francisco Estuary and Watershed Science,scopus,title+abstract,llm-full,Monitoring Tools,"The primary objective is to evaluate and validate a species identification protocol for distinguishing Delta Smelt from the similar-looking Wakasagi using the SHERLOCK genetic assay. This is a method development and validation study focused on improving monitoring accuracy. Key signals include 'SHERLOCK assay', 'genetic verification', 'species identification procedures', 'proofing', and 'field-deployable genetics tools'. The study develops and tests a monitoring tool specifically designed for Delta Smelt detection and identification, making this the central contribution rather than answering an ecological question."
10.1002/aff2.116,"Size, delta smelt Hypomesus transpacificus over 10 generations in captivity","The once abundantdelta smeltHypomesus transpacificus is now on the verge of extinction. At the UC Davis Fish Conservation and Culture Laboratory, a refuge population has been maintained since 2008 as a safeguard against extinction and to breed and provide fish for research. Due to artificial aquaculture operations, it is assumed that the fish are impacted by life in captivity leading to questions about differences between cultured and captive wild fish. This study looked at the differences in fork length (FL), body weight (BW), fecundity (F) and condition factor (K) of cultured and wild (captive) delta smelt over the last 10 generations (2009–2018) to determine if there were any changes of life-history traits between the two, which may indicate domestication. Results revealed that the cultured population had significantly higher FL, BW, F and K than the wild population. The correlation tests found significant positive relationships between all measured traits except FL and K of wild fish. Significant changes in the measured traits of the cultured population over time were found, whereas none was observed in most wild fish year-classes. This study demonstrated changes of lifehistory traits in a well-managed fish population over 10 generations in captivity and provides critical information to the coming supplementation plan for the species.",2023,Article,Aquaculture Fish and Fisheries,scopus,title+abstract,llm-full,Culture and Reintroduction,"This study examines changes in life-history traits (fork length, body weight, fecundity, condition factor) in cultured Delta Smelt over 10 generations at the UC Davis Fish Conservation and Culture Laboratory compared to wild (captive) fish. The primary research objective is to detect domestication effects in the cultured refuge population maintained as a safeguard against extinction. Key signals include 'captive', 'Fish Conservation and Culture Laboratory', 'refuge population', 'cultured population', 'supplementation plan', and explicit focus on comparing cultured vs. wild fish traits over multiple generations in a hatchery setting."
10.3133/ofr20221101,"Bivalve Effects on the Food Web Supporting Delta Smelt—A One-Year Study of Bivalve Recruitment, Biomass, and Grazing Rate Patterns with Varying Freshwater Outflow","Phytoplankton are an important and limiting food source in the Sacramento-San Joaquin Delta and San Francisco Bay in California. Decreasing phytoplankton biomass is one possible factor for the pelagic organism decline and the decline of the protected Hypomesus transpacificus (delta smelt). Bivalves Corbicula fluminea and Potamocorbula amurensis (hereafter C. fluminea and P. amurensis, respectively) have been shown to control phytoplankton biomass throughout San Francisco Bay and the Sacramento-San Joaquin Delta; therefore, their distribution and population dynamics are of great interest. We describe the distribution and dynamics of bivalve biomass using samples from California Department of Water Resources’ (DWR) 2019 benthic monitoring program. As one element of DWR’s and the Bureau of Reclamation’s Environmental Monitoring Program (EMP), the DWR benthic monitoring program examines the effect of water project operations on the estuary as prescribed by a series of Water Rights Decisions mandated by the California State Water Resources Control Board (SWRCB). The biomass and grazing rate values of both bivalves had similar patterns, therefore, comments on biomass distribution can be applied to grazing rate data. Biomass and recruitment values of C. fluminea were too low at station C9 (Old River upstream from Clift on Court Forebay Intake) to describe a temporal pattern. Corbicula fluminea biomass values were consistently high at station D24 (Sacramento River). Station D4L (confluence of San Joaquin and Sacramento Rivers) biomass values were low during the first half of the year and high the rest of the year. Corbicula fluminea biomass values at station P8 (San Joaquin River) were the highest and most consistent on that river. Station D16 (San Joaquin River) and station D28A (central delta) biomass values were near zero with a small peak in May.",2023,Article,US Geological Survey Open File Report,scopus,title+abstract,llm-full,General Biology,"This study describes the distribution, biomass dynamics, recruitment patterns, and grazing rates of invasive bivalves (Corbicula fluminea and Potamocorbula amurensis) and their potential effects on phytoplankton, which is a food source for Delta Smelt. While Delta Smelt is mentioned in the context of the pelagic organism decline and as motivation for the study, the primary research focus is on characterizing bivalve population dynamics and their ecological impact on the food web. This is fundamentally a study of Delta Smelt ecology (food web effects, competitors/predators in the broader sense) without focus on management actions, entrainment, or life cycle modeling, making General Biology the best fit as the default category."
10.3133/ofr20221102,"Bivalve Effects on the Food Web Supporting Delta Smelt—A Spatially Intensive Sampling Study of Bivalve Recruitment, Biomass, and Grazing Rate Patterns with Varying Freshwater Outflow in 2019","Phytoplankton are an important and limiting food source in the Sacramento-San Joaquin Delta and San Francisco Bay. The decline of phytoplankton biomass is one potential factor in the decline of the protected Hypomesus transpacificus (delta smelt) and other pelagic organisms. The bivalves Corbicula fluminea and Potamocorbula amurensis (hereafter C. fluminea and P. amurensis, respectively) have been shown to control phytoplankton biomass in several locations throughout the San Francisco Bay and the Sacramento-San Joaquin Delta; therefore, knowledge of their distribution and population dynamics are of great interest. Here, we describe the distribution and dynamics of bivalve biomass using samples collected by the California Department of Water Resources (DWR) as part of the benthic monitoring program in 2019. One element of DWR’s and the Bureau of Reclamation’s Environmental Monitoring Program—the Generalized Random Tessellation Stratified (GRTS) program—examines the spatial and temporal extent of C. fluminea and P. amurensis control on phytoplankton. Historically, the GRTS program sampled 175 benthic stations (50 stations that are monitored every year and 125 randomly selected new stations that are changed yearly) throughout the Sacramento-San Joaquin Delta and northern San Francisco Bay (San Pablo and Suisun Bays) during one week in May and October. In 2019, only the 50 annually replicated stations were sampled. Corbicula fluminea and P. amurensis biomass and grazing rates had similar trends; therefore, the conclusions regarding biomass are applied to grazing rate data as well. Corbicula fluminea biomass decreased from May to October, whereas P. amurensis average biomass (reported increased from May (1 g ash-free-dry-tissue mass/square meter (g AFDM/m<sup>2</sup>) to October (2 g AFDM/m<sup>2</sup>). Although C. fluminea’s average biomass was lower in October (10 gAFDM/m<sup>2</sup>) than in May (20 gAFDM/m<sup>2</sup>), the highest single biomass value was also observed in October (300 gAFDM/m<sup>2</sup>). In both May and October, most stations that recorded high C. fluminea biomass values were located in the deep water (≥3 m of depth between the surface of the water and the surface of the substrate on the bottom) and were sampled in either rivers or sloughs. A relation between depth and biomass was not observed for P. amurensis. Both C. fluminea and P. amurensis recruitment (recruits are considered animals ≤2.5mm in length in this study and recruitment is the process of recruits successfully settled to the bottom) increased from May to October. The total number of C. fluminea recruits more than doubled from May to October, whereas P. amurensis total recruitment increased by 8-fold during the same period. Most P. amurensis recruits in May can be attributed to one station, whereas the recruits in October were found at 14 stations. A relation between number of recruits and station depth was not evident for either C. fluminea or P. amurensis.",2023,Article,US Geological Survey Open File Report,scopus,title+abstract,llm-full,General Biology,"Similar to publication 6, this study characterizes the spatial distribution, biomass, recruitment, and grazing rates of invasive bivalves that control phytoplankton (a food source for Delta Smelt). Delta Smelt is mentioned as motivation for understanding bivalve effects on the food web, but the primary research objective is describing bivalve population ecology and dynamics across spatial and temporal scales. This is a study of Delta Smelt food web ecology (examining factors affecting prey availability) without a primary focus on management interventions, entrainment, or integrated life cycle modeling. General Biology is the appropriate default category."
